,0,1,2,3,4,5,6,7,8
111,Vistra Corp,VST.N,"25-Feb-2022, 22:14",25-Feb-2022,31-Dec-2021,Vistra Corp. 10-K,US,Electric Utilities (NEC),22674448
112,Puget Energy Inc,PSD.N^B09,"25-Feb-2022, 22:06",25-Feb-2022,31-Dec-2021,PUGET ENERGY INC /WA 10-K,US,Electric Utilities (NEC),22673617
113,Evergy Inc,EVRG.OQ,"25-Feb-2022, 21:34",25-Feb-2022,31-Dec-2021,"Evergy, Inc. 10-K",US,Electric Utilities (NEC),22673188
114,OGE Energy Corp,OGE.N,"29-Nov-2022, 02:12",24-Feb-2022,31-Dec-2021,OGE ENERGY CORP. 10-K,US,Electric Utilities (NEC),22665235
115,Edison International,EIX.N,"25-Feb-2022, 09:11",24-Feb-2022,31-Dec-2021,EDISON INTERNATIONAL 10-K,US,Electric Utilities (NEC),22671013
116,NRG Energy Inc,NRG.N,"25-Feb-2022, 08:38",24-Feb-2022,31-Dec-2021,"NRG ENERGY, INC. 10-K",US,Electric Utilities (NEC),22672559
117,Duke Energy Carolinas LLC,—,"25-Feb-2022, 03:48",24-Feb-2022,31-Dec-2021,Duke Energy CORP 10-K,US,Electric Utilities (NEC),22669356
118,Dominion Energy South Carolina Inc,SCG_p.N^L09,"25-Feb-2022, 03:20",24-Feb-2022,31-Dec-2021,"DOMINION ENERGY SOUTH CAROLINA, INC. 10-K",US,Electric Utilities (NEC),22669222
119,Dominion Energy Inc,D.N,"25-Feb-2022, 03:15",24-Feb-2022,31-Dec-2021,"DOMINION ENERGY, INC 10-K",US,Electric Utilities (NEC),22669065
120,,WIPSI.PK^K15,,,,,,,
121,,WELPP.PK,,,,,,,
122,WEC Energy Group Inc,WEC.N,"24-Feb-2022, 22:54",24-Feb-2022,31-Dec-2021,"WEC ENERGY GROUP, INC. 10-K",US,Electric Utilities (NEC),22666707
123,AEP Texas Inc,—,"24-Feb-2022, 21:59",24-Feb-2022,31-Dec-2021,AMERICAN ELECTRIC POWER CO INC 10-K,US,Electric Utilities (NEC),22666564
124,OGE Energy Corp,OGE.N,"24-Feb-2022, 20:18",24-Feb-2022,31-Dec-2021,OGE ENERGY CORP. 10-K,US,Electric Utilities (NEC),22665234
125,Avangrid Inc,AGR.N,"24-Feb-2022, 06:22",23-Feb-2022,31-Dec-2021,"Avangrid, Inc. 10-K",US,Electric Utilities (NEC),22663500
126,Xcel Energy Inc,XEL.OQ,"24-Feb-2022, 05:49",23-Feb-2022,31-Dec-2021,XCEL ENERGY INC 10-K,US,Electric Utilities (NEC),22663100
127,Northern States Power Co,—,"24-Feb-2022, 05:48",23-Feb-2022,31-Dec-2021,NORTHERN STATES POWER CO 10-K,US,Electric Utilities (NEC),22663111
128,Public Service Company of Colorado,—,"24-Feb-2022, 05:48",23-Feb-2022,31-Dec-2021,PUBLIC SERVICE CO OF COLORADO 10-K,US,Electric Utilities (NEC),22663115
129,Southwestern Public Service Co,SPS.N^H97,"24-Feb-2022, 05:48",23-Feb-2022,31-Dec-2021,SOUTHWESTERN PUBLIC SERVICE CO 10-K,US,Electric Utilities (NEC),22663120
130,Northern States Power Co (Wisconsin),—,"24-Feb-2022, 05:48",23-Feb-2022,31-Dec-2021,NORTHERN STATES POWER CO /WI/ 10-K,US,Electric Utilities (NEC),22663114
131,MGE Energy Inc,MGEE.OQ,"24-Feb-2022, 00:41",23-Feb-2022,31-Dec-2021,MGE ENERGY INC 10-K,US,Electric Utilities (NEC),22661225
132,Ameren Corp,AEE.N,"23-Feb-2022, 20:33",23-Feb-2022,31-Dec-2021,AMEREN CORP 10-K,US,Multiline Utilities,22660100
133,Nextera Energy Partners LP,NEP.N,"23-Feb-2022, 20:05",23-Feb-2022,31-Dec-2021,"NEXTERA ENERGY PARTNERS, LP 10-K",US,Electric Utilities (NEC),22659940
134,CenterPoint Energy Inc,CNP.N,"22-Feb-2022, 20:29",22-Feb-2022,31-Dec-2021,CENTERPOINT ENERGY INC 10-K,US,Multiline Utilities,22654834
135,Alliant Energy Corp,LNT.OQ,"19-Feb-2022, 03:02",18-Feb-2022,31-Dec-2021,ALLIANT ENERGY CORP 10-K,US,Electric Utilities (NEC),22651869
136,Kentucky Utilities Co,KUTLP.PK^J05,"19-Feb-2022, 02:21",18-Feb-2022,31-Dec-2021,PPL Corp 10-K,US,Electric Utilities (NEC),22651674
137,Florida Power & Light Co,ELB.N^L03,"18-Feb-2022, 20:38",18-Feb-2022,31-Dec-2021,NEXTERA ENERGY INC 10-K,US,Electric Utilities (NEC),22650799
138,Consolidated Edison Company of New York Inc,CEDNM.PK^E12,"18-Feb-2022, 07:14",17-Feb-2022,31-Dec-2021,CONSOLIDATED EDISON INC 10-K,US,Multiline Utilities,22649159
139,Idacorp Inc,IDA.N,"17-Feb-2022, 22:07",17-Feb-2022,31-Dec-2021,IDACORP INC 10-K,US,Electric Utilities (NEC),22645695
140,Portland General Electric Co,POR.N,"17-Feb-2022, 20:11",17-Feb-2022,31-Dec-2021,PORTLAND GENERAL ELECTRIC CO /OR/ 10-K,US,Electric Utilities (NEC),22645230
141,Otter Tail Corp,OTTR.OQ,"17-Feb-2022, 06:50",16-Feb-2022,31-Dec-2021,Otter Tail Corp 10-K,US,Electric Utilities (NEC),22644191
142,FirstEnergy Corp,FE.N,"17-Feb-2022, 06:34",16-Feb-2022,31-Dec-2021,FIRSTENERGY CORP 10-K,US,Electric Utilities (NEC),22643856
143,ALLETE Inc,ALE.N,"16-Feb-2022, 20:08",16-Feb-2022,31-Dec-2021,ALLETE INC 10-K,US,Electric Utilities (NEC),22640482
144,Tampa Electric Co,TAECM.PK^L04,"14-Feb-2022, 20:22",14-Feb-2022,31-Dec-2021,TAMPA ELECTRIC CO 10-K,US,Electric Utilities (NEC),22624486
145,Tucson Electric Power Co,—,"11-Feb-2022, 20:58",11-Feb-2022,31-Dec-2021,TUCSON ELECTRIC POWER CO 10-K,US,Electric Utilities (NEC),22616621
146,ITC Holdings Corp,ITC.N^J16,"11-Feb-2022, 20:51",11-Feb-2022,31-Dec-2021,ITC Holdings Corp. 10-K,US,Electric Utilities (NEC),22616603
147,DTE Electric Co,—,"11-Feb-2022, 01:07",10-Feb-2022,31-Dec-2021,DTE ENERGY CO 10-K,US,Electric Utilities (NEC),22612010
148,CMS Energy Corp,CMS.N,"11-Feb-2022, 00:53",10-Feb-2022,31-Dec-2021,CMS ENERGY CORP 10-K,US,Multiline Utilities,22611763
149,PG&E Corp,PCG.N,"10-Feb-2022, 22:21",10-Feb-2022,31-Dec-2021,PG&E Corp 10-K,US,Electric Utilities (NEC),22609648
150,Renewable Innovations Inc,REII.PK,"31-Dec-2021, 05:54",30-Dec-2021,30-Nov-2021,Nestbuilder.com Corp. 10-K,US,Electric Utilities (NEC),211532723
151,Tennessee Valley Authority,TVC.N,"15-Nov-2021, 20:08",15-Nov-2021,30-Sep-2021,Tennessee Valley Authority 10-K,US,Electric Utilities (NEC),211405122
152,WindGen Energy Inc,WGEI.PK,"20-Oct-2021, 02:51",19-Oct-2021,31-Dec-2020,"WINDGEN ENERGY, INC. 10-K",US,Electric Utilities (NEC),211330379
153,Pineapple Energy Inc,PEGY.OQ,"01-Apr-2021, 04:23",31-Mar-2021,31-Dec-2020,COMMUNICATIONS SYSTEMS INC 10-K,US,Electric Utilities (NEC),21792792
154,Cei Funding LLC,—,"31-Mar-2021, 19:12",31-Mar-2021,31-Dec-2020,FirstEnergy Ohio PIRB Special Purpose Trust 2013 10-K,US,—,21788758
155,Duke Energy Florida LLC,FLPWP.PK^C13,"31-Mar-2021, 06:42",30-Mar-2021,31-Dec-2020,"Duke Energy Florida Project Finance, LLC 10-K",US,Electric Utilities (NEC),21787559
