,0,1,2,3,4
215,D.N,31-Dec-2020,US,Electric Utilities (NEC),21676541
216,CNP.N,31-Dec-2020,US,"Multiline Utilities
+2",21676290
217,AES.N,31-Dec-2020,US,Electric Utilities (NEC),21675495
218,OGE.N,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21675542
219,IPL.N^C01,31-Dec-2020,US,Electric Utilities (NEC),21675571
220,DPL.N^K11,31-Dec-2020,US,Electric Utilities (NEC),21675546
221,AZD.N^A00,31-Dec-2020,US,Electric Utilities (NEC),21668677
222,AEE.N,31-Dec-2020,US,"Multiline Utilities
+1",21661514
223,OTTR.OQ,31-Dec-2020,US,Electric Utilities (NEC),21655067
224,LNT.OQ,31-Dec-2020,US,Electric Utilities (NEC),21654587
225,—,31-Dec-2020,US,Electric Utilities (NEC),21654063
226,POR.N,31-Dec-2020,US,Electric Utilities (NEC),21651411
227,CEDNM.PK^E12,31-Dec-2020,US,"Multiline Utilities
+1",21650181
228,IDA.N,31-Dec-2020,US,Electric Utilities (NEC),21647705
229,FE.N,31-Dec-2020,US,Electric Utilities (NEC),21647625
230,ALP_pq.N^J22,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21646497
231,CNLPL.PK,31-Dec-2020,US,Electric Utilities (NEC),21646372
232,—,31-Dec-2020,US,Electric Utilities (NEC),21644836
233,—,31-Dec-2020,US,Electric Utilities (NEC),21644767
234,—,31-Dec-2020,US,Electric Utilities (NEC),21644766
235,SPS.N^H97,31-Dec-2020,US,Electric Utilities (NEC),21644765
236,XEL.OQ,31-Dec-2020,US,Electric Utilities (NEC),21644284
237,ALE.N,31-Dec-2020,US,Electric Utilities (NEC),21641594
238,NEP.N,31-Dec-2020,US,Electric Utilities (NEC),21641007
239,ELB.N^L03,31-Dec-2020,US,Electric Utilities (NEC),21627282
240,—,31-Dec-2020,US,Electric Utilities (NEC),21622705
241,ITC.N^J16,31-Dec-2020,US,Electric Utilities (NEC),21622576
242,CMS.N,31-Dec-2020,US,"Multiline Utilities
+1",21616853
243,REII.PK,30-Nov-2020,US,Electric Utilities (NEC),21576490
244,TVC.N,30-Sep-2020,US,Electric Utilities (NEC),201318654
245,ALTND.PK^K20,31-Dec-2019,US,Solar Electric Utilities,201221462
246,TRNFQ.PK,31-Dec-2019,US,Fossil Fuel Electric Utilities,20903420
247,BLNK.OQ,31-Dec-2019,US,Electrical Components & Equipment (NEC),20770275
248,OIGBQ.PK,31-Dec-2019,US,Electric Utilities (NEC),20758222
249,SUME.PK,31-Dec-2019,US,Electric Utilities (NEC),20753094
250,FLPWP.PK^C13,31-Dec-2019,US,Electric Utilities (NEC),20752823
251,—,31-Dec-2019,US,"Corporate Financial Services (NEC)
+1",20751766
252,—,31-Dec-2019,US,Electric Utilities (NEC),20750672
253,—,31-Dec-2019,US,Electric Utilities (NEC),20750545
254,—,31-Dec-2019,US,Electric Utilities (NEC),20749165
255,—,31-Dec-2019,US,Electric Utilities (NEC),20749123
