,0,1,2,3,4
170,OTTR.OQ,31-Dec-2021,US,Electric Utilities (NEC),22644191
171,FE.N,31-Dec-2021,US,Electric Utilities (NEC),22643856
172,ALE.N,31-Dec-2021,US,Electric Utilities (NEC),22640482
173,TAECM.PK^L04,31-Dec-2021,US,Electric Utilities (NEC),22624486
174,—,31-Dec-2021,US,Electric Utilities (NEC),22616621
175,ITC.N^J16,31-Dec-2021,US,Electric Utilities (NEC),22616603
176,—,31-Dec-2021,US,Electric Utilities (NEC),22612010
177,CMS.N,31-Dec-2021,US,"Multiline Utilities
+1",22611763
178,PCG.N,31-Dec-2021,US,Electric Utilities (NEC),22609648
179,REII.PK,30-Nov-2021,US,Electric Utilities (NEC),211532723
180,,,,,
181,CMS.N,31-Dec-2021,US,"Multiline Utilities
+1",22611763
182,PCG.N,31-Dec-2021,US,Electric Utilities (NEC),22609648
183,REII.PK,30-Nov-2021,US,Electric Utilities (NEC),211532723
184,TVC.N,30-Sep-2021,US,Electric Utilities (NEC),211405122
185,WGEI.PK,31-Dec-2020,US,Electric Utilities (NEC),211330379
186,USBL.PK,28-Feb-2021,US,Professional Sports Venues,211072400
187,USBL.PK,29-Feb-2020,US,Professional Sports Venues,21988390
188,BLNK.OQ,31-Dec-2020,US,Electrical Components & Equipment (NEC),21794827
189,MNTK.OQ,31-Dec-2020,US,Biomass & Waste to Energy Electric Utilities,21794817
190,SPRU.N,31-Dec-2020,US,Solar Electric Utilities,21794478
191,AMPS.N,31-Dec-2020,US,Solar Electric Utilities,21793393
192,PEGY.OQ,31-Dec-2020,US,Electric Utilities (NEC),21792792
193,SMR.N,31-Dec-2020,US,Nuclear Utilities,21792395
194,—,31-Dec-2020,US,"—
+2",21788758
195,FLPWP.PK^C13,31-Dec-2020,US,Electric Utilities (NEC),21787559
196,LFG.N^L22,31-Dec-2020,US,Electric Utilities (NEC),21786895
197,OIGBQ.PK,31-Dec-2020,US,Electric Utilities (NEC),21783726
198,—,31-Dec-2020,US,Electric Utilities (NEC),21781348
199,—,31-Dec-2020,US,Electric Utilities (NEC),21781312
200,—,31-Dec-2020,US,Electric Utilities (NEC),21778302
201,—,31-Dec-2020,US,"Corporate Financial Services (NEC)
+1",21777830
202,—,31-Dec-2020,US,Electric Utilities (NEC),21772821
203,—,31-Dec-2020,US,Electric Utilities (NEC),21767539
204,—,31-Dec-2020,US,Electric Utilities (NEC),21759156
205,—,31-Dec-2020,US,—,21725225
206,—,31-Dec-2020,US,Electric Utilities (NEC),21716981
207,VIA.OQ,31-Dec-2020,US,Electric Utilities (NEC),21713163
208,CNL.N^D16,31-Dec-2020,US,Electric Utilities (NEC),21710336
209,NRG.N,31-Dec-2020,US,Electric Utilities (NEC),21698234
210,PNM.N,31-Dec-2020,US,Electric Utilities (NEC),21697963
211,AGR.N,31-Dec-2020,US,Electric Utilities (NEC),21697672
212,—,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21692764
